year,state,Auto,Bus,Truck,Motorcycle
1924,Washington,253888.0,0.0,41555.0,3164.0
1924,West Virginia,168563.0,0.0,22522.0,1407.0
1924,Wisconsin,475182.0,0.0,50039.0,3938.0
1924,Wyoming,38831.0,0.0,4808.0,252.0
1925,Alabama,171472.0,726.0,23630.0,524.0
1925,Alaska,0.0,0.0,0.0,0.0
1925,Arizona,59864.0,278.0,8876.0,359.0
1925,Arkansas,159516.0,175.0,24521.0,293.0
1925,California,1236880.0,0.0,222191.0,11760.0
1925,Colorado,205565.0,0.0,35530.0,1862.0
1925,Connecticut,213549.0,545.0,37936.0,4034.0
1925,Delaware,32657.0,0.0,7836.0,375.0
1925,District of Columbia,90456.0,0.0,14531.0,1312.0
1925,Florida,237991.0,0.0,50039.0,1200.0
1925,Georgia,218271.0,0.0,32278.0,994.0
1925,Hawaii,0.0,0.0,0.0,0.0
1925,Idaho,74289.0,0.0,8402.0,518.0
1925,Illinois,1103026.0,0.0,164412.0,6603.0
1925,Indiana,628543.0,3381.0,99579.0,4525.0
1925,Iowa,614318.0,0.0,47442.0,2393.0
1925,Kansas,410701.0,0.0,48597.0,1434.0
1925,Kentucky,235459.0,500.0,26975.0,703.0
1925,Louisiana,176782.0,0.0,31997.0,520.0
1925,Maine,116344.0,169.0,24952.0,1381.0
1925,Maryland,201048.0,460.0,36005.0,4619.0
1925,Massachusetts,555328.0,0.0,84124.0,9801.0
1925,Michigan,886710.0,0.0,106139.0,3387.0
1925,Minnesota,524920.0,417.0,45908.0,2944.0
1925,Mississippi,159425.0,0.0,18751.0,100.0
1925,Missouri,543965.0,0.0,61925.0,1989.0
1925,Montana,82556.0,0.0,13400.0,252.0
1925,Nebraska,302028.0,0.0,37733.0,1207.0
1925,Nevada,18245.0,0.0,3372.0,133.0
1925,New Hampshire,72576.0,0.0,9251.0,1701.0
1925,New Jersey,469156.0,2400.0,114394.0,8501.0
1925,New Mexico,42450.0,89.0,7213.0,212.0
1925,New York,1346965.0,3966.0,287421.0,19834.0
1925,North Carolina,312595.0,0.0,31660.0,863.0
1925,North Dakota,133835.0,0.0,11280.0,443.0
1925,Ohio,1181494.0,0.0,172207.0,12650.0
1925,Oklahoma,393803.0,0.0,32928.0,817.0
1925,Oregon,190510.0,0.0,27050.0,2547.0
1925,Pennsylvania,1152268.0,819.0,187102.0,16122.0
1925,Rhode Island,84308.0,262.0,17717.0,1407.0
1925,South Carolina,152943.0,826.0,16107.0,224.0
1925,South Dakota,154437.0,0.0,14465.0,345.0
1925,Tennessee,221707.0,720.0,24084.0,677.0
1925,Texas,892167.0,794.0,94371.0,2779.0
1925,Utah,63167.0,0.0,10982.0,719.0
1925,Vermont,64627.0,0.0,5149.0,718.0
1925,Virginia,247913.0,400.0,38265.0,1715.0
1925,Washington,281973.0,581.0,49344.0,3020.0
1925,West Virginia,190583.0,300.0,28099.0,1432.0
1925,Wisconsin,528917.0,0.0,68076.0,3523.0
1925,Wyoming,42699.0,0.0,5488.0,220.0
1926,Alabama,198109.0,759.0,28477.0,401.0
1926,Alaska,0.0,0.0,0.0,0.0
1926,Arizona,65304.0,202.0,9172.0,337.0
1926,Arkansas,179524.0,150.0,30476.0,279.0
1926,California,1396108.0,0.0,225313.0,10778.0
1926,Colorado,212825.0,0.0,36944.0,1480.0
1926,Connecticut,222644.0,585.0,44458.0,3108.0
1926,Delaware,36372.0,0.0,8894.0,342.0
1926,District of Columbia,98212.0,306.0,15072.0,1521.0
1926,Florida,378185.0,0.0,71731.0,1570.0
1926,Georgia,242691.0,0.0,37378.0,841.0
1926,Hawaii,0.0,0.0,0.0,0.0
1926,Idaho,86750.0,0.0,9296.0,509.0
1926,Illinois,1197127.0,0.0,178363.0,6156.0
1926,Indiana,665651.0,4396.0,108025.0,3738.0
1926,Iowa,649178.0,0.0,52653.0,2013.0
1926,Kansas,442134.0,0.0,51561.0,1380.0
1926,Kentucky,252737.0,429.0,30025.0,712.0
1926,Louisiana,204930.0,0.0,36695.0,500.0
1926,Maine,124339.0,150.0,28160.0,1195.0
1926,Maryland,217611.0,675.0,37653.0,4039.0
1926,Massachusetts,592461.0,1369.0,90770.0,9215.0
1926,Michigan,971662.0,0.0,153561.0,3438.0
1926,Minnesota,559286.0,379.0,72487.0,2551.0
1926,Mississippi,184476.0,0.0,21840.0,92.0
1926,Missouri,588408.0,0.0,67992.0,2010.0
